,level_0,energy_consumption_per_annum
574507,163340,258.4116987890784
288222,502124,211.084583428858
256549,1188433,235.4513234925722
269058,1139529,224.0486196073736
704594,614377,343.0343465675895
841364,230932,74.11471164933178
616786,544825,187.76351787000095
835772,818566,262.2688638450671
140823,1480929,199.9623705813655
444221,164155,265.4597147362357
127631,508110,366.3846661410312
183275,611087,211.5060783188537
158813,53900,177.67999351243543
517040,1266502,264.13184331863823
265668,443763,353.3222766143458
795988,31935,348.4068821739877
721086,222969,325.8175539203671
195322,647374,312.2223009149328
336872,566654,319.0770624742452
744535,243197,194.81819863101845
110618,818909,285.5809404002886
70528,865154,151.94633347550615
44016,802598,154.14764710122077
714894,871888,164.44079633578102
371691,1342179,134.83430963009295
535110,56690,221.0979538001872
805197,1194368,340.62856850860686
129701,1341968,309.24112462753203
461209,1177889,252.7838394048877
49795,858374,171.62384181799132
989670,803601,442.6086700171197
538510,393478,139.76773022492705
955941,1159356,118.03057826115536
430067,811075,226.12979794669383
110035,1008370,199.8161250538882
2753,1190475,206.12589312388133
75226,338903,182.1296607481768
986422,5884,553.4775994667746
469138,1470543,202.93463870287667
374353,231699,364.72192842325535
606002,416408,326.05160926477544
4159,1002511,215.97134779865544
236685,313025,87.71959359786564
55471,78658,663.7048568411832
609798,350925,179.62643832769697
849262,1286841,345.4756100989724
605460,545999,298.11417350281977
287571,897563,144.1165824251774
63016,54001,112.26842359873407
838285,104170,405.2370829826892
244638,735561,313.379254914913
890852,983995,202.62464241606497
111593,1054610,411.3891577318248
295283,1205649,323.51165001138475
918989,1035356,404.3983741104837
960061,1365482,127.26923540369052
176647,1195474,191.6205794057484
139485,1067202,161.2977042654388
859230,517145,217.3832513734168
326422,636653,403.5946339183312
454951,624004,196.12763134557477
486880,1397793,195.20482396092908
404621,652024,165.53043809985098
606455,1042187,191.2194421174592
688052,75871,319.4080556419535
158921,1446090,188.05683832733104
237590,229025,305.8227894215028
919614,183457,211.1720920237629
46372,98485,112.15398669457277
851049,632369,197.8218362954808
167895,149271,87.77758518369112
654479,1185156,314.2474867896533
939411,273858,284.6222496545318
577631,527262,121.88714460276364
73364,765139,179.24449823573528
639238,580204,269.8512045263136
209515,350412,252.8128376604365
432457,465132,211.9843534636549
330143,1106142,168.3109885944175
218523,354753,199.0347425079616
298022,624838,162.2041814579309
1235,810262,177.24694758050765
494787,78744,115.74901475470426
128573,1294707,224.67507143847772
342742,1184755,223.1237245712069
470244,1503194,267.1005231959438
563564,1446480,237.91022688730632
277336,853735,255.46509118289623
642336,116450,128.09758945453774
177541,1259378,222.7803180242296
172755,901163,334.1142140703056
548305,1025537,153.47539973580783
724141,1389540,90.94618299668514
315367,825059,844.8321625606143
582507,314673,399.7026664828919
679601,310193,192.4847401289877
416712,1161391,200.2597887290819
776421,691697,363.3531136755884
13917,807390,443.9117339844263
587301,150392,302.0759778715663
226101,1207434,128.87161754145848
887027,350501,137.33665328079883
524209,1063559,169.84118243234013
467925,1002265,230.88485171308824
66826,1390106,158.4628177034403
488285,338042,129.11647350850737
343903,1328749,170.7736291015383
900471,1336268,166.93636360681194
562045,251279,228.42026038594156
285203,474640,196.5897515000378
470557,432537,294.50292481436213
523376,1010792,127.7736086273828
870832,1163619,280.3047058809889
720876,927865,216.46067752309287
700185,1140367,110.09781708903486
817525,455136,240.17775372709616
869710,900457,276.88121960320666
271574,1305953,223.0666144053032
996023,172666,323.4235851788801
674201,1406097,306.50373865260553
815715,1097668,131.5135687153076
823884,1040058,249.9589455915119
64955,10081,178.1071801268049
219164,873568,134.76148878637684
578933,310784,234.06568299780173
947623,139703,195.9141553140411
779976,790271,331.4161344038758
278896,1478752,395.8885662765909
246860,603629,139.8641844756229
59882,849406,264.4287942726235
705088,403891,170.57032245243184
19347,127960,285.84768191100795
308253,1244241,287.72043526303173
13558,775384,201.612407120918
239017,183795,420.4201163067455
786403,106310,315.71476466085534
351635,549340,220.3279089861392
79442,616234,360.0321708557444
96826,1299241,298.9135424143285
832345,879181,91.74182232237696
630223,97627,310.82988252838703
735129,224533,224.5093031865973
238346,1155808,105.99527057925332
749942,512551,364.5481538819255
66161,40339,286.3635723521333
675162,562265,233.08916840134663
558339,1152565,419.2394347006149
202200,1384414,182.67935186753292
422728,817787,227.80341068198453
42339,885808,174.59719367160864
707736,990013,187.90547553553705
495910,353906,217.72656044486556
319556,888029,146.95641852005122
345652,1102300,180.9334126118461
241706,581033,115.63067253992284
412370,225557,241.46323332322467
361725,737699,226.8659472059224
686227,549407,215.8177681770179
956193,937732,327.1220936098313
558145,286883,164.22207762313886
70170,174595,616.1276844875837
721119,1279582,292.2550345193937
934691,1334680,394.6390627674359
1007911,1329440,209.51688529449711
50779,1173200,181.603068965198
898551,617331,218.55551513290024
400672,1485032,329.9380991062892
77462,808898,310.58765003984416
739580,615582,127.59464196712943
635033,555665,301.6622352276033
448799,1227371,269.1065143382652
180547,300563,308.41376894988684
165687,1285890,239.9729036351618
87139,88197,360.6847643160143
601182,980779,258.9765138756148
365438,1331124,147.23054074427765
541119,832373,125.51691265772448
268865,177217,320.5372693809337
359512,82932,173.24303039131456
501940,833244,360.2038868760901
697260,180601,351.13096460290046
798668,1122420,151.95504258755898
133404,333908,182.22381016678224
442760,921845,359.01440079833867
137777,104744,255.8395123251123
903792,706989,633.491346963564
278776,6959,84.18809709479783
431259,654520,300.7444395093298
561657,1040850,210.39670486832867
555409,282134,245.68217690239536
465414,578468,210.29935522286144
191323,1447487,369.8913740307835
643300,982610,355.33540617037994
207146,641821,195.98264804098363
387931,1277826,137.97933708331874
235250,472079,173.77214056134426
426087,1262972,263.065321719274
270441,1282906,194.49327919278792
423054,286143,127.15348236244962
703355,548347,503.59231228255385
787060,973192,196.45283766444987
50783,1145686,118.66185170456082
107943,177462,329.9698943744263
987137,952386,247.71918180147995
959073,1077641,205.04325440696584
821949,650534,289.86004038944566
361227,114128,247.94089664042824
566479,500687,204.0116624726306
127982,733526,572.081640891746
290862,387783,225.894526596783
125267,876965,91.86139003641424
219941,1147369,131.22624164369165
764960,392212,190.10916195803185
492672,1107838,312.8303505962886
192534,876640,218.22541373997484
696394,1379569,278.8927453002368
217713,432975,215.7909169883784
779415,877980,109.87934769898558
501278,1203860,174.22358349097505
467173,894440,199.5754456007329
534980,786114,504.296736587758
915099,460821,245.70385314235284
804976,1117879,336.55678030503924
806953,490716,299.45167343094624
436779,690284,394.82277905113415
405497,558904,308.35887175912376
959262,1199830,264.4997148956142
738638,246348,278.8124255413562
202857,912836,328.3885547085868
230536,632913,130.5707009919593
191884,63832,171.81492513239698
843264,774870,207.02498560463815
870589,54854,124.82268154678228
692025,239658,238.82539540758583
231608,1371511,206.36993749679235
490003,1046624,184.4286305605584
376358,1473025,255.36706364748792
771691,946001,243.32719044150497
926110,861700,225.80457970759105
430573,1285321,116.21132962917486
625166,354647,222.21329977113413
191639,539487,78.95070093799265
242326,445072,326.03690633414965
545630,484264,169.93883377857443
578167,440916,202.07531601221064
225927,282543,108.82482599935337
636492,646895,138.39048371527628
892633,921573,267.65357991482176
563915,343645,176.56859340617342
925507,418641,101.72530547228664
751406,194483,357.73426195542885
291804,865004,60.44941441192788
96773,985688,173.43437303754132
102536,1038409,279.9678941869008
320213,263204,215.2827401738739
199979,1425835,216.75383025972496
679311,846757,252.2716141829256
18579,530252,212.9146898239443
592675,739711,324.55982462894286
850284,253517,325.3627943745988
825573,1405063,312.8177081700887
186930,23699,80.187322996891
179670,991459,419.8613762786126
844949,366992,452.9950521601232
544035,224843,243.3691230736094
938827,298467,113.52493570879244
571712,1241487,278.9857826007431
942979,147173,153.52689008411528
528658,472610,366.2803942389903
436674,1502495,100.0126960836287
349819,1117080,219.63447715779893
131258,611839,264.73096598919824
583681,926288,243.39293089001308
396179,1230318,182.18458477992797
877770,873155,139.454297456498
840984,149553,136.32610675071692
731324,137856,175.97843147278888
486836,20583,195.6993014922248
561088,535656,293.0815950466689
806247,310705,443.6000214334109
467041,1074931,194.4281889318874
890608,1474599,405.5429161848798
154382,546461,193.1620409588625
561979,1262804,303.81617731455145
56162,737983,220.0188253403834
430415,1355027,353.0138845925723
315147,1341455,96.8700684049766
291978,1250302,236.14467827274655
19357,464200,325.7511497109928
966946,560062,90.6021938469314
478568,545573,212.4421214486912
748510,1166477,121.316043454203
116078,354548,183.77166005698544
228147,719424,132.47100980757978
262570,980923,135.0045294552803
671940,1303298,207.11990072729589
913723,623566,177.20967105501214
983705,707343,308.90351213982564
302358,947652,252.50597116888665
980530,857513,176.34288700377854
339425,1066634,445.3863272146396
174553,475569,188.50206462546728
392001,1431354,122.82297570704584
246210,173346,155.24944550655468
762441,1371524,341.4849780649718
300369,1387131,427.32668502578815
304352,786417,154.3524883057409
15711,1443246,152.29277443447447
756576,796465,169.8541491579615
977653,537437,257.58456844125766
570170,1387731,336.635892653323
350463,904549,310.07425679326514
861743,957478,261.80009348277804
219237,396881,159.62444873743874
416149,1077318,419.97653472639126
666695,521002,187.9717583737109
535526,807552,226.0621600506562
367668,666848,134.17787985232292
860538,646055,219.27487096762317
881029,1421416,146.5182916553081
377732,554203,291.9130695691898
188374,1376652,270.4979241929816
4221,770944,175.37703029332437
94346,1281850,179.14152728979775
92647,113748,114.28345057923477
241253,242039,385.785081491834
794197,1201371,172.7320421498594
887986,242304,319.61146890176803
396997,1032191,267.9224221990346
692207,364591,212.3080304147077
564027,1214735,186.3317529612897
808787,1441270,325.26302591079326
565212,598868,210.7651920448304
472914,1384989,131.55937901561492
766688,151400,162.0128946517104
943188,1474017,310.78049253758763
892593,260271,357.16568037594794
316077,657598,139.67295801673632
583069,1256664,322.3129231051741
16848,904820,188.60831418053417
439525,911765,170.49354787114578
149539,1239848,267.24234165865454
15118,455384,171.82818121685355
537967,927134,139.9579608904237
495000,510956,268.3058293944024
363664,645190,138.01514706023028
680377,157664,156.11003463583933
867441,628876,228.05167913900672
993763,1494637,317.5395049442372
291415,87194,137.01952353744022
1000164,890910,198.39998353474743
294519,67776,148.7645182404351
529270,136464,76.59291378012503
452452,4967,234.20909885985645
951186,1239995,331.93618387157954
40727,1064261,241.47235085626363
603893,533109,554.4536925078182
769465,1369407,137.42954796767845
100013,485762,500.1866347976032
177852,757395,380.7399077541962
147218,224649,332.6371286265452
159820,404971,309.4737480289617
235311,1478457,368.9038223399284
434981,1097492,132.54227645467296
968604,1178590,227.47175880567931
747551,509702,157.41144465873592
980124,171327,122.03716139660438
630285,359296,221.2388740703585
188810,1314069,208.2447087109313
768766,132375,228.36177037867424
160228,739177,256.4962643376444
353894,888288,193.92600902610943
672203,1304919,413.7361120665867
656815,188476,219.071905885632
331672,1109201,273.30022224134655
609985,502201,253.54889044185072
954899,917585,221.2782287646168
471657,836170,295.5717965934275
127344,664962,182.99160402634905
734515,1329846,227.48897163238348
159910,346909,400.8688758555216
162790,404418,353.7880765488963
828954,386690,414.751392621499
419706,41383,308.0889028890307
694019,642356,185.36105371923747
462124,269928,140.2725293541726
684625,277926,96.8834297398218
902609,968191,274.7330947399787
432602,1425112,215.1879577344707
316558,1166798,118.50794201361974
927758,297730,164.67211148782536
910070,1451134,239.5105467609145
364146,758109,189.51673686224427
241894,522306,746.0750784309679
253546,1279017,189.4806168082561
734523,1238748,212.9214826721775
990578,82407,150.21503625615384
566627,344274,285.857932304376
515061,359595,105.76982617534932
364101,22856,154.11467952238806
743438,1369919,230.78410260047409
959441,985677,259.89994489180253
418674,1437252,82.15025990280151
28382,1474244,291.7527288184826
147738,1341504,225.3763095948317
620031,1499698,481.9869163696011
408500,730971,381.67396986324417
711610,1277827,306.7691085967708
886897,676187,153.05693393142923
559409,204720,198.17796987503877
171065,869811,88.18164704025139
949688,398229,192.06100308652108
7125,213959,205.84583076720767
911371,466884,204.35491283824865
674880,1193027,126.63144451025588
803381,1274477,196.60404174930284
146818,31708,280.8720439757107
132752,397663,387.3069453359095
76617,1320638,113.47594428797024
947,334101,219.7280191911708
227469,1416584,231.80140712666295
897850,1082204,284.6502398950429
342240,1255410,283.4835743589169
595612,67891,166.02598351682974
845474,636399,156.4733683135803
773129,578054,261.3015275891419
825597,1414371,144.50606066491366
706534,390346,385.65607767000085
438610,1175760,472.8999298695613
614721,1396530,161.02608710957315
160413,685080,677.287784338575
745227,541065,215.75468179571976
772999,704573,234.27751711035796
340064,368648,212.591878921035
509944,1482604,318.14595577328646
260448,543063,196.1849110270978
402144,1284707,196.05946310127828
547087,1056568,136.95272049954946
619142,1380458,312.1009658054789
466294,774654,269.5259532718386
213433,207446,234.7892241331191
281396,889681,88.7651477365786
571111,869251,154.93712827815682
965323,763976,416.4324273747064
5483,1215575,237.1237081026848
398176,3574,149.55931798112718
333461,144582,203.9636422001405
526075,1230537,104.85988431114578
375963,735800,258.84472730500346
519658,799143,214.82414886526595
168213,784917,107.35398323674876
210684,102894,497.5320559059628
367812,634464,252.4709830834723
902208,1249032,292.36366311012347
147148,279614,228.16884741475835
224639,302809,87.49549402598137
831870,1390423,328.46891358298126
64831,718815,400.6003623056386
865419,189283,341.7259930335182
420578,1436673,190.4590050955858
800009,1476476,194.0496191857739
310448,70079,220.2064335054843
395464,1259492,225.65940337743123
41069,825784,498.9787914210402
556698,920499,194.14970697689856
845205,902469,154.41738133853016
927397,1495103,200.39779046772625
811298,404618,309.80924867478376
866313,524554,245.53238555868649
662579,470631,186.56429657064385
431766,377243,297.7977355276523
219786,804575,256.1812918979773
455003,1145190,283.88594266878226
612580,886642,174.27662680015445
454440,1063301,254.30795517228063
361001,572001,306.7017081065832
687394,527041,327.13633219413737
1010048,1269893,209.1108507909001
965232,825138,384.9612284021084
308490,917876,185.19439239821023
969321,171959,537.5275954028218
915934,1049737,132.33964961987044
172229,376140,364.6969657873927
466311,30661,259.685450813281
166394,1380620,172.9899799037209
579350,153798,162.02798710392875
195028,106868,116.42042515550224
717024,1308992,201.77907584408135
294746,1238048,181.96691182523116
259371,189260,356.84547554743466
39906,1133343,229.36571010399095
560085,773395,254.3680240001965
752973,846357,253.0313959398835
412930,1191445,157.17487137881363
481055,1480970,176.25920943984875
654804,395200,197.6384761808944
677442,521456,417.63409827086616
767750,1306362,275.6951945108603
412542,277978,85.92343631714112
200845,1346000,126.84574762573136
295914,1376299,205.8030622888296
22601,431729,221.79582842938376
153823,623889,146.64433156555117
394007,172187,180.09618342505928
37877,840277,225.72288548263003
362965,324255,155.73682976279596
959086,1204628,306.52588656928856
58771,170641,497.17587213943233
539687,1302474,155.80850763673132
571609,1061578,168.4298754724319
172571,1497912,266.7776553263763
261786,1132114,183.5459446508291
419797,1223129,382.42999550446166
761624,1219909,273.2743476685954
573234,1365054,117.54781780991344
734021,1364193,293.0432734227588
339373,303357,429.6764554029813
622186,1322730,396.5267288389234
110974,699166,332.0561721556958
317964,710199,172.0594566069559
572472,151301,167.96448810664796
584318,1329821,428.22792904151567
18895,391640,183.74667532217995
359020,1056097,219.7286837344803
745316,1499636,325.4763225153075
233245,973316,317.27134856694465
139349,1350420,205.1091764428897
614792,511108,176.8142398368571
713226,1188005,159.16270014261312
681457,1204932,112.73350398086583
389408,1149790,267.6652247042467
474046,1376821,496.9885983342253
157700,813374,341.0915517932433
271079,249902,140.06251498108668
797595,1274166,150.10818627734784
101140,335525,209.6891677520601
72177,178292,312.14211450969293
790626,694642,537.8196760304319
961386,1452164,217.23882902871216
1010570,664126,280.9536719933603
24129,757544,235.42554927169783
776318,787366,358.0302957981331
537183,818196,587.8089220983377
442036,181306,289.6961911217188
491612,1361407,205.45772655704712
728980,334766,231.7244900641447
490729,1179448,124.6327129787572
147486,540523,196.54578943763835
224656,480645,179.69586870320796
238268,1217307,190.11474695683205
756762,243784,219.23166572275687
145994,639427,262.94206789358424
156221,149323,85.59686467971076
211806,947914,336.6302748697501
151491,589670,135.55972618480007
711326,395952,149.18794954623678
325362,1298478,210.09072126543495
136028,957175,292.0747201037135
933251,912226,215.6540848208193
15116,21404,177.28038013330007
520001,3193,423.7411884073976
997232,157960,410.7900353587298
403689,561528,134.76557383018513
427837,210305,223.23112205824745
711620,1431059,99.6782418186485
272074,1270157,244.0400341514368
786726,908950,148.55805353046654
304653,27463,116.74621523554649
233485,965842,189.33259034909972
415792,268662,134.90120976566493
739216,884188,63.75673960129913
420179,381906,236.1603403513274
835589,1471705,294.94240176570355
696891,1102622,141.80864498227845
632181,61871,147.09867292463537
104694,719979,374.92360646377006
454004,275708,183.24961062784772
195404,320067,222.60847824560216
446948,1035284,571.6143675526232
101429,118856,108.76870274241952
212948,758248,491.8622032672042
912215,1488519,327.66523642770346
546257,698997,273.1024265119395
609090,863753,102.16572749722422
7634,1371415,224.094350171258
334709,1390659,167.46327897897658
307981,423565,566.0833051775762
828579,854792,179.0573519949079
845648,444676,248.7205365483752
694481,917711,201.7045737706664
362441,264931,139.5884264739758
299217,1426391,187.28148788177768
27810,725859,221.81575653438023
972014,409834,173.039434092729
419489,1386954,381.1701691152096
243420,1348419,118.77784401364852
587091,339747,114.98299936445169
997106,1102790,133.4821314764831
913548,540610,339.7122317219745
610335,232526,393.0962651461674
35546,687967,187.9715112061086
791045,28452,266.92363819141616
291129,1183402,202.10228981160083
859515,751155,105.4765451824586
205146,19561,215.7358139009678
952114,217049,224.9180540833328
724676,589572,301.2194262734391
983651,1252834,345.57913260598605
8346,354245,171.94218872262758
749965,177420,285.6406198031298
649691,747288,155.3080785834083
170231,845285,197.9526351541499
757865,553069,185.0114290358759
798144,1434870,224.92813474453325
454615,894486,172.30446395307695
427718,1447274,237.89785149980509
669641,1299387,189.99476886885893
533155,153553,321.87446802166266
631235,584055,194.267837092399
40291,1157376,106.42260583911552
417560,1375341,39.730506587426646
931746,505980,299.31896410147374
799081,445930,174.1364132733264
765440,1129694,116.23548178917363
199983,286064,303.03274082876595
586944,1379344,307.08964636662387
240581,1454660,134.83461750540636
195702,287715,378.85086339222016
745962,105460,217.21001020278928
586107,855219,116.90203218589856
104547,1418817,225.27158303389365
435344,865743,95.92501070782164
114366,587145,149.84006571325193
969024,1152514,262.90620251290176
372409,160252,213.945485611074
499785,786946,270.23564383255587
209155,1064969,223.2194714581596
18684,1471042,212.2856448763301
457447,189345,303.60184858827955
3959,182588,483.01678724124906
277064,410352,278.1079745591797
891466,542672,326.6780598715372
335972,767457,368.9833381324917
146512,1060088,207.17202847448675
456151,164113,204.05373308289828
326698,1296987,429.0520231647927
916881,1219513,124.06760621266233
711316,165106,95.39538091228928
998059,587507,117.57265312990124
413226,1276783,125.4009171581013
236334,174340,289.7659726318009
113788,935712,144.0800903704143
555097,417473,370.62693944527
121120,520286,270.8722203081355
660561,1418527,212.9164923276744
610564,1239393,297.9583056342801
73491,1361427,257.9352862314429
123291,471929,328.4021930367201
524425,1186522,355.8387228116805
244522,481363,233.4809916677344
247150,50913,151.57058821121166
12135,856032,194.6117924100252
369544,634990,253.96416250273293
428636,1431505,314.1370779490795
797316,1494500,314.85809979529495
30769,922873,280.0559069726376
646801,262893,432.2209550042581
878669,1436257,632.28059652006
819757,357987,97.3109373431877
172707,968810,215.64928853653325
346024,1058729,106.10563259348396
173301,942055,366.3449653854336
938041,1037240,167.0287966271275
225728,296970,135.30592047286544
937561,841758,413.4135922287019
572574,221983,206.04912200125972
483792,1113113,123.7975331946971
293116,965559,285.5832478020615
993138,1207279,78.73566205064168
345635,915828,232.72589979954267
620180,1132570,197.58560763990036
933250,961620,386.15753921923954
413976,881893,228.60931694145864
304160,72487,427.1331101398849
864324,929027,154.27148236203232
404852,837308,341.7029171008128
897088,1346857,357.7818332690008
568419,1045121,217.22093331549868
859638,698543,193.83571749206624
319775,760616,304.6351482060282
199286,971542,149.46048488382138
597442,1071894,148.3739519405326
80374,34892,124.08467892485758
828484,926306,242.5625449632265
600118,123926,283.08974881779824
442553,146409,94.87417083700096
75336,210953,152.10161228282237
696426,114844,526.2613907496908
339752,791594,242.3615161410564
191831,101182,205.90652098214213
3422,353683,256.4996631118036
665360,1091854,108.4834931175894
300692,94513,540.6511851244528
593717,1215285,163.15133689125616
33712,342510,262.87482188267785
255720,1161626,116.26301082718484
69356,794337,481.0440810346911
927451,125208,144.3321633760903
1002793,717719,178.36450096012658
901690,1432240,246.4416332668524
363153,106536,140.93964927073145
337149,801371,421.8511869346188
472045,325583,261.1354813039009
214848,123349,300.21741248377407
957794,281645,155.11045052931598
893074,1247334,515.1798078825641
387001,318408,384.3124939206003
81797,440399,562.5464325893234
439063,1381353,274.58486191113974
260891,117310,179.4628550053347
653329,723908,170.7560348699199
32546,691901,193.3419364134992
198490,43065,272.3331019433828
735766,1204118,85.88221042798261
681832,369009,227.38267814650013
386165,1487689,217.95176575255084
913136,817350,225.3008653350766
437721,906481,219.7153955693464
511823,1254832,258.5836748474603
780893,1441738,326.48449570691423
412518,1364046,205.7620455599772
312079,1267907,298.7232167018772
914946,1244298,229.0059996874225
700006,1465945,89.45134164253494
765351,1412539,418.18945481486753
857151,22975,213.12845407921887
967440,1111073,124.75356160135472
320372,966786,302.31632342187754
85791,1306804,148.57218911342517
92221,198776,225.52322264616333
169725,115591,290.7243141971574
800099,609962,332.4884676162615
911357,1374267,225.83619487935624
463052,328623,96.3391195263454
877995,335704,213.28666718178
793972,1479440,319.8464338209726
207244,1288130,201.4753796577357
668547,410586,245.6445525514842
281590,116747,276.2140747794402
898558,709632,327.9028178010483
571175,1218967,154.65281734636
247482,631035,407.0321842601637
892536,1219019,160.7692969375372
334616,892797,275.4934002018415
885188,1096309,231.5165282036991
932751,467518,208.86481876722215
220723,805063,207.90907200600395
199364,288878,193.3413324620276
482273,1361502,216.84574567600365
757675,156089,317.0527635563587
355619,58031,95.13098141195542
888530,1505424,204.64544713267605
963488,1067505,189.99865298737524
811763,467526,194.1784194474069
808218,717191,226.33852920965012
655590,709550,247.3726864298083
289313,186668,211.90659002607023
820960,596145,317.03150518246065
751515,291620,146.40843231084125
330045,294494,201.02201482765395
288632,1374174,132.22124497774126
472546,306400,246.83683747670509
1003109,1376227,386.6964264194841
191793,789401,331.8542925125389
724139,760315,209.3011803374643
726730,1351909,182.0290324746208
389702,463859,359.966803917612
466814,1248936,424.4329351914743
1008089,1143137,164.41541648776467
756022,111990,312.7405085395394
776565,517748,344.17838270353104
323377,140172,239.66966551226912
935980,626048,140.4333314812822
584760,470888,131.85603314177231
345067,1068586,242.93375403784069
501165,1089946,252.60950401218105
919559,829955,169.38711762386896
957386,791524,463.0165436527652
147454,1122703,215.91130928743664
245565,111087,291.4349012031293
862654,677167,283.69756592747774
310175,268469,301.5320251083633
95242,35491,284.1750764136102
119379,1033454,359.46351235556824
307634,391200,256.77444022420434
715689,1507375,268.8138812043287
184295,584757,206.6779203372312
329448,1217255,130.568284513477
316056,113427,313.76921105657834
462762,828368,263.7110851752118
279843,583809,223.55417598847788
487580,971707,304.6771304217171
604924,404238,384.9523392589974
504347,986615,392.49783921301696
713413,694992,425.9286742817782
417987,219180,283.0661978464807
895939,1032374,220.6757381891561
819932,917293,149.97007541097116
123030,143349,150.98682462224554
635071,938784,280.2776343465761
934724,1323297,172.18931812036624
914876,618945,171.98103883281345
281177,373558,174.8193219540085
82326,1365339,250.179950368115
918971,264141,226.90001338698357
962711,346014,265.754070866802
407455,905950,382.23813930562574
406021,117656,309.37638166693483
808390,709353,136.7502735807999
577289,1030763,324.43006028038064
116395,1223238,141.2507350649284
140320,375065,215.73546732451592
83794,137323,335.5062887994841
625573,860259,209.47760797463332
244877,412836,144.82341121796588
659450,678509,317.61484608399576
603167,1301641,396.85063967704633
687116,18548,126.65315974442936
969684,548938,249.7409714210405
684602,20779,109.56097055645046
583760,863132,125.13372774289878
631983,1463582,224.94612959879245
515797,318367,120.69441416000036
261554,1039429,223.86772664991705
657882,135749,156.43230560766403
156927,381953,143.15124111296132
580066,1395948,273.24308275782505
